"code","product_name","brands","main_category","created_year"
"7896104802816","Doce cremoso tipo schmier abacaxi","Ritter","plant based foods and beverages","2025"
"3760049797909","Pain de mie Bio petites tranches complet & levain sans sucres ajoutés 280g","La Boulangère Bio, La boulangere","plant based foods and beverages","2018"
"3560071046897","Riz Coco","Carrefour BIO","beverages and beverages preparations","2017"
"6009710723463","White Oats","Quaker Oats","plant based foods and beverages","2025"
"7896279600538","Óleo de soja refinado","Coamo","plant based foods and beverages","2018"
"5052003250970","Orange & Mango Juice","Tesco","beverages and beverages preparations","2019"
"0850000547568","MINI FRUIT BARS","That's it.","plant based foods and beverages","2020"
"7891000050880","Cereal Matinal Snow Flakes Sachê 120g","Nestlé","Unknown","2022"
"4056489454458","Kotimainen AB-Piimä Laktoositon","Pohjolan Meijeri","beverages and beverages preparations","2025"
"3073780810661","Cheese Dip with Breadsticks","Bel, The Laughing Cow","dairies","2017"
"6413600015147","Pepsi Max","Pepsi","beverages and beverages preparations","2019"
"4001518722930","Griesson Soft Cake Orange 4001518722930 Zartes Gebäck mit fruchtiger Füllung (mit Orangensaft aus Orangensaftkonzentrat) (55%) und Schokolade (17%)","BAXT AS, Griesson","snacks","2016"
"4056489961680","Ananas-kookosjuoma","Caribbean Style, Lidl","beverages and beverages preparations","2024"
"0056800202458","OIKOS","Oikos","dairies","2018"
"4792090000560","Low Fat Milk","Kotmale","Unknown","2024"
"20202392","Brazil Nuts","Alesto, Lidl, Lidl Alesto","plant based foods and beverages","2015"
"2006050131501","Poêlée champêtre","All Seasons","plant based foods and beverages","2024"
"8718452142286","Bloemen Honing","JUMBO","breakfasts","2018"
"8000380005598","Tartina dark","Loacker","snacks","2019"
"7503016385183","Cereal artesanal","Dasavena","Unknown","2024"
"7896036000793","Extrato De Tomate","ELEFANTE","plant based foods and beverages","2023"
"4061459306071","Feta","Lyttos","dairies","2023"
"7802900001179","Queso Gauda","Soprole","Unknown","2024"
"8858709101991","Pasteurized LACTOSE FREE Milk Product (DAIRY HOME brand)","DAIRY HOME, แดรี่โฮม","dairies","2024"
"9421904480063","DRINKING CHOCOLATE","AVALANCHE","beverages and beverages preparations","2019"
"7891000078518","Farinha Láctea","Nestlé","plant based foods and beverages","2018"
"8992802123013","Susu steril ekstra buah zaitun","Entrasol","dairies","2024"
"0060885000489","Everything Bread","Country Harvest","plant based foods and beverages","2022"
"8993175569071","Nextar Cheesecake Pie - Strawberry Cheesecake (78g)","Nabati","Unknown","2025"
"8711299020410","KINGSIZE PEANUTS Salted","Snacks of The World","plant based foods and beverages","2020"
"3257971309114","Mont Roucous","Mont Roucous","beverages and beverages preparations","2014"
"7807910037897","Atun","Cuisine Co","Unknown","2024"
"3497917000914","Chips saveur Aïoli","Brets","plant based foods and beverages","2016"
"5013665115373","Lentil & Pea Veggie Cakes Beetroot & Balsamic","Kallo","snacks","2020"
"4056489096627","Tortelloni, négy sajtos","Chef Select, Lidl","plant based foods and beverages","2019"
"4001724819103","Pizza Funghi","Aldi, Dr. Oetker","frozen foods","2015"
"5449000015105","Sprite","Sprite","beverages and beverages preparations","2018"
"4001686536025","Maoam Kracher","MAOAM","snacks","2018"
"8901058017670","Maggi 280g","Maggi","plant based foods and beverages","2025"
"6410380041823","Broadway Sourcream and Onion Chips","Taffel","plant based foods and beverages","2024"
"9319133331372","Toasted Muesli Original Fruit Free","Carman's","plant based foods and beverages","2018"
"6003770000632","Peri peri sauce wild herb","Nando's","Unknown","2022"
"5060853640131","Protein granola","Bio&me","plant based foods and beverages","2022"
"7318690497363","Hasselnötskräm","ICA","breakfasts","2024"
"8801043025256","辛ラーメン","NONGSHIM","plant based foods and beverages","2018"
"8410199002402","Horno Al punto de sal","Lay's","plant based foods and beverages","2012"
"5201010144523","Κριθαράκι Μέτριο","Misko","plant based foods and beverages","2017"
"9300633556150","Full Cream Fresh Milk","Woolworths","dairies","2021"
"7804673910535","BARRA DE CEREAL","WILD SOUL BAR","snacks","2025"
"5013665111610","Lightly Salted Low Fat Corn Cakes","kallo","plant based foods and beverages","2016"
"0016000439894","Fruit & Nut Trail Mix","Nature Valley","snacks","2018"
"3560070157198","Queso rallado parmesano","Carrefour","dairies","2013"
"8901595862825","Red chilli sauce","Ching's","condiments","2022"
"0626027811025","Oat Original","Earth's Own","plant based foods and beverages","2018"
"8853002303943","ดัชมิลล์ไลฟ์","Dutch mill, ดัชมิลล์","th:Drinking yogurts","2024"
"3103220034804","Haricots Happy Life","Haribo","snacks","2013"
"0190646640019","BARISTA EDITION OATMILK","Oatly","beverages and beverages preparations","2020"
"8852756304299","Special K","Kellogg's","plant based foods and beverages","2014"
"5036829756281","Beetroot Falafel With Red Pepper & Chilli","Gosh!","snacks","2023"
"3175681854482","Fraise","Gerblé","plant based foods and beverages","2015"
"8908010900056","Peanut butter","Pistols","plant based foods and beverages","2022"
"6002138002202","Sourcream - Dew fresh","","Unknown","2024"
"0853986008115","Chips","Siete","plant based foods and beverages","2021"
"5600961114195","Zero Chocolate Flavoured Syrup","Prozis","syrups","2022"
"5000159562232","Mars Minis","Mars","snacks","2024"
"7704269114982","Miel de abejas  apis mellifera","Natumiel","breakfasts","2022"
"3242274034054","Salade Roma","Sodebo","meals","2023"
"8901725000622","sunfeast Mom","Sunfeast","snacks","2023"
"7613035287167","HERTA KNACKI Saucisses 100% Poulet x6 - 210g","Herta","meats and their products","2015"
"4897878100279","Cup Noodles Manzo","","plant based foods and beverages","2022"
"4770635198309","Tikra rugine duona","Lietuvos kepėjas","Unknown","2022"
"0079783406125","Peanut Butter on Cheese Sandwich Crackers","Austin","snacks","2018"
"7610036002744","Chocolat Villars Lait Eclats noisettes 100g","Villars","snacks","2016"
"7501020565799","Bebida sabor avena sin azúcar sin endulzar","Lala, Vita","beverages and beverages preparations","2025"
"7501040090165","Yoplait frutas y cereales","Sigma","dairies","2018"
"4014400929010","Knoppers mini","Storck","snacks","2020"
"8801117778309","포카칩","","Unknown","2022"
"8480000063052","Pajaritas con vegetales","Hacendado","plant based foods and beverages","2018"
"5060092690331","Real Mayonnaise","Stokes","condiments","2019"
"5060088707661","raw fruit & nut bar","nakd.","snacks","2018"
"6111242102361","Raib vani jaouda","Jaouda","dairies","2018"
"5901520000059","Muszynianka 1.5","Muszynianka","beverages and beverages preparations","2019"
"4056489972105","Shrimp gyoza","Vitasia","frozen foods","2024"
"89000724","kinley water 500ml","","beverages and beverages preparations","2019"
"6901668200235","Spring Onion Crackers","Pacific","Unknown","2025"
"8801169072929","Sauce Chicken Breast","Eat now","Unknown","2022"
"9008700108829","Mangosaft","Rauch","beverages and beverages preparations","2014"
"7790503198696","Galletas de Arroz Saladas","Dos Hermanos","plant based foods and beverages","2020"
"9000331607917","Manner Original Neapolitaner 9000331607917 Knusprige Waffeln mit Haselnusscremefüllung","Manner","snacks","2015"
"8711327660601","Vegan Almond","Magnum","desserts","2025"
"5060088709276","Protein Flapjack White Choc & Raspberry","Trek","snacks","2020"
"20211943","Пълнозърнест сусамов тахан","Maribel","plant based foods and beverages","2020"
"5052909732600","Clear Honey","Tesco","breakfasts","2018"
"7622210476104","Véritable Petit Beurre","Lu, Mondelez International","snacks","2016"
"5000159537834","Kind Protein Dark Chocolate Nut","Kind","plant based foods and beverages","2021"
"5202178300004","Χυμός Πορτοκάλι Όλυμπος","Olympus","beverages and beverages preparations","2019"
"8402001021053","Postre Proteínas Chocolate","Hacendado","dairies","2024"
"3165440002919","Couscous moyen","Tipiak","plant based foods and beverages","2013"
"3178530405736","Bonne Maman - Quatre Quarts, 500g (17.6oz)","Bonne Maman","snacks","2012"
"8801047225102","Algues vertes frites","Yangban","Unknown","2021"
"2800000707019","Atún desmenuzado al natural","Ciudad del Lago","seafood","2021"
"4056489811275","Sertésrudacska Sertéscombból","Pikok, Pikok Pure","meats and their products","2023"
"7500810024553","Chips jalapeño","Chips","plant based foods and beverages","2024"
"4056489526872","Muesli Crunchy chocolat noir et noisettes grillées","Crownfield, Lidl","plant based foods and beverages","2021"
"20036911","Café latte Espresso","Milbona","beverages and beverages preparations","2019"
"20936600","DARK CHOCOLATE ALMOND & ORANGE","J. D. GROSS","snacks","2017"
"9352042002582","Natural Peanut Butter","Simply Nuts","plant based foods and beverages","2021"
"5010029000856","Original Weetabix","Weetabix","plant based foods and beverages","2017"
"5701205005542","Multigrain sandwich bread","Schulstad","plant based foods and beverages","2018"
"8000500157985","Moulage Lapin Kinder Surprise 75g","Ferrero, Kinder","snacks","2015"
"5018374105356","SOYA DRINK SWEETENED","TESCO","beverages and beverages preparations","2018"
"4014500036830","Monte MAXI","Zott Monte","dairies","2015"
"3800233091205","Rice chips","b.yond","plant based foods and beverages","2021"
"0049733091015","Cholula Salsa Picante","Cholula","condiments","2015"
"8906009070834","Unibic cashew badam cookies 500g","Unibic","snacks","2022"
"5059319025841","Special K Classic","Kellogg's","plant based foods and beverages","2023"
"8992696417922","Bear brand gold teh putih E-1B 140 ml","Bear","Unknown","2023"
"8402001032516","Galletas con edulcorantes 0% Digestive","Hacendado","snacks","2025"
"6223002384525","GREEK PLAIN YOGHURT","Danone","Unknown","2022"
"0061232203072","Rough Oatcakes","nairn's","snacks","2017"
"3178530409673","palmier","st michel","snacks","2015"
"5201673005216","Αξιαγάπιτες","Καραμολέγκος","plant based foods and beverages","2021"
"4056489303930","Roger classic","Sondey","snacks","2023"
"6009188006518","Mini Tex","Nestlé","Unknown","2024"
"20892371","Norwegische Lachsfilet Mit Haut","Lidl","seafood","2017"
"8801104240284","딸기 요구르트","요플레","Unknown","2022"
"4056489615927","Crunchy peanut butter","Lidl","plant based foods and beverages","2022"
"5772739267973","Dansk Bloomster","Jakobsens","breakfasts","2017"
"5202336076260","Fresh creme cheese","AB","dairies","2025"
"7891000111161","NESCAU MATINAL CEREAL CXA","Nestlé","plant based foods and beverages","2022"
"7036110008202","Hjertego'","vita","plant based foods and beverages","2017"
"6009900278735","1000 Islands salad dressing","Carb smart","Unknown","2024"
"3229820798110","Granola Chocolat","Bjorg","plant based foods and beverages","2019"
"9319133338470","Overnight Chia & Oat Sachets Berry & Coconut","Carman's","plant based foods and beverages","2024"
"7038010001642","Lettmelk 1,0% fett","TINE","dairies","2017"
"01318180","MULTISEED WHOLEMEAL FARMHOUSE LOAF","Sainsbury's, Sainsbury's taste the difference","plant based foods and beverages","2018"
"7622210696861","Nussini","Milka","snacks","2017"
"6009204041158","Beef Chow Mein","Woolworths, Woolworths Food","meals","2025"
"4014500512976","Jogobella hruška, třešeň","Zott","dairies","2020"
"6009711325680","Maheu","Ama sipsip","Unknown","2024"
"8005110630408","Passata di Pomodoro","Mutti","plant based foods and beverages","2015"
"6001324011172","Orange Squash","Oros","beverages and beverages preparations","2023"
"5059697710001","Dark milk chocolate","Tesco","snacks","2024"
"9300601186945","Full Cream Milk","coles","dairies","2018"
"0077901006516","Feta Chunk","President","dairies","2017"
"6907992104300","芝士点","伊利","zh Hans:风味发酵乳","2020"
"0089686060232","Indomie Pop Mie Tori Miso","Indofood","Unknown","2024"
"7707172301340","Almendra salada","Nuts Garden","plant based foods and beverages","2024"
"7802900001926","Protein+ Trozos de Fruta Frutilla","Soprole","Lácteos","2020"
"9349571000462","CRANBERRY & SUNFLOWER SEED ARTISAN CRACKERS","Olina's bakehouse","snacks","2023"
"4779028400722","Grikių kruopos tyras","TYRAS","Unknown","2019"
"4008948191015","Jever Fun Alkoholfrei","Pilsner Alkoholfrei","beverages and beverages preparations","2019"
"7790742373908","Cremon original x 280","La Serenisima","dairies","2022"
"5760466401043","Cottage cheese","Arla","dairies","2019"
"0733603091785","Hand Cooked Potato Chips Hot Chilli Peppers","Hunter's Gourmet","Unknown","2025"
"4335619062665","Marzipan Bites","Favorina","snacks","2024"
"4770245044287","Sour  Crem","","Unknown","2019"
"0062020000248","Nutella","Ferrero","breakfasts","2015"
"9355414001114","SOUR CREAM & CHIVES FLAVOURED RICE CRACKERS","Peckish","snacks","2023"
"0096619656493","Organic Tortilla Chips","Kirkland Signature","snacks","2017"
"3560071260156","il Délicio Original","Carrefour","snacks","2020"
"3250391334667","Ricotta","Páturages","dairies","2016"
"8888450911006","Fish ball","Dodo","seafood","2023"
"7035620051999","Tyttebærsyltetøy","First Price","Unknown","2024"
"0051500902882","Creamy Dark Roasted Peanut Butter","Santa Cruz Organic","plant based foods and beverages","2022"
"3288110715961","Lémiel 3 Croissance","Milumel","baby foods","2017"
"9300645111453","Italian Basil, Pecorino and Pine Nut Pesto","Providore","condiments","2020"
"20713713","Chocolat noir Equateur Bio","J.D. Gross","plant based foods and beverages","2016"
"7038010017865","Gräddost","Tine","dairies","2021"
"7896294900804","Requeijão Light","Tirol","pt:Requeijão","2025"
"0047495491555","Fig Bar Raspberry","Nature's Bakery","snacks","2018"
"6921299762025","旺仔QQ糖(葡萄味)","旺仔","Unknown","2015"
"4056489983507","High Protein Wraps","Snack Day","plant based foods and beverages","2024"
"5038862137775","clémentine & mandarine avec pulpe","innocent","beverages and beverages preparations","2016"
"5016084235516","Organic Swiss Vegetable Vegan Bouillon Powder","Marigold","plant based foods and beverages","2017"
"6009707013775","Honey and mustard pretzels","Truda","Unknown","2024"
"7311041024720","Kaviar","First Price","fish and meat and eggs","2022"
"4088600100449","Fat free cottage cheese natural","Emporium","dairies","2021"
"8410376017113","Biscuits Mega Duo imp","gullón","snacks","2017"
"8722700430889","Maille Mini Cornichons Petits Croquants Bocal 210g","Maille","plant based foods and beverages","2019"
"4740072132518","Rukkipala","Leibur","Unknown","2024"
"00032971","Pear Halves in refined fruit juice","Sainsbury's","plant based foods and beverages","2023"
"3175680012937","Biscuit chocolat noir","Gerblé","snacks","2015"
"8008343200134","Rummo Linguine N°13","Rummo","plant based foods and beverages","2016"
"3608580890911","Gourmand & végétal au lait de coco Brassé fraise","Andros","plant based foods and beverages","2018"
"5997347542759","Mandulabél","Mogyi","plant based foods and beverages","2022"
"7802920006352","QUESO MANTECOSO","COLUN, RIO BUENO","dairies","2025"
"8410179100012","Borges Extra Virgin Olive Oil","Borges","plant based foods and beverages","2019"
"7702007065565","maní con sal. La especial","nutresa","plant based foods and beverages","2023"
"5410126806069","Spéculoos Biscoff","Lotus","snacks","2017"
"9310072001005","Monte Carlo","Arnott’s","snacks","2017"
"0096619336753","PEANUT BUTTER PRETZELS","KIRKLAND","snacks","2018"
"5013683305466","Garlic & Ginger Marinated Tofu","Cauldron Express","plant based foods and beverages","2019"
"7501008101049","corn flakes","Kellogg's","plant based foods and beverages","2019"
"7032069715543","Fullkorn tortilla wraps (25cm)","Texmex","plant based foods and beverages","2021"
"7793890261844","Salmas","Zenissimo","snacks","2025"
"3278693504076","Emprésuré au chocolat","Malo","dairies","2014"
"8850718809950","Lay Family Pack","","plant based foods and beverages","2019"
"5056784903766","Monster Energy Ultra Strawberry Dreams Uten Sukker","Monster Energy","beverages and beverages preparations","2025"
"5904730127844","Olej kokosowy, bezzapachowy","Biedronka, Vitanella","plant based foods and beverages","2020"
"0769503575353","Morceaux De Maquereaux À La Sauce Tomate","Marsa","seafood","2024"
"7035620022357","Mørk kokesjokolade","Unil","snacks","2018"
"6111126005894","Kéfir Nature","Chergui","beverages and beverages preparations","2025"
"3245412563034","Kit Burritos","Carrefour","sandwiches","2017"
"8710522893821","Hellmans Vegan Garlic Mayo 270g","Hellmann's","condiments","2021"
"7798151952356","Pasta de maní Natural","Maní King","plant based foods and beverages","2024"
"8809054401519","Halal Original Topokki","Yopokki","Rice cake","2022"
"4740072130514","Rukkipala Juuretisega täisteraleib","Leibur","plant based foods and beverages","2024"
"6972532730332","气泡水","dafei","beverages and beverages preparations","2023"
"5201415207199","Cottage cheese","ADORO","dairies","2024"
"5060337220415","kefir drink original","Biotiful gut health","beverages and beverages preparations","2019"
"6001120606060","ENERGY BAR Milk Chocolate","Jungle Bar","snacks","2023"
"8410014477743","Nocilla Original","Idilia Foods, Nocilla","breakfasts","2020"
"9351585000857","Harvest Snaps Baked Pea Crisps Wasabi Flavour","Calbee","snacks","2023"
"0067311016335","Jus de pomme-raisin fait de concentré avec vitamine C ajoutée","OASIS","beverages and beverages preparations","2016"
"6410405060457","Miniluumutomaatti","Pirkka","plant based foods and beverages","2020"
"8850210000039","น้ำมันถั่วเหลือง","องุ่น","plant based foods and beverages","2019"
"3564700462942","Miel squeezer","Marque Repère, Nid d'Abeille","breakfasts","2013"
"8801037078176","Coffee white gold","Maxim","plant based foods and beverages","2021"
"8852023664224","โก๋แก่ รสกะทิ","Koh Kae, kohkae, โก๋แก่","plant based foods and beverages","2017"
"6156000209913","Growing Up Milk","DANO","Unknown","2024"
"5902884461890","Muesli chocolat","One Day More","plant based foods and beverages","2023"
"6111024001288","Oleor","","plant based foods and beverages","2021"
"6223003942915","Jelly Cherry And Cola","Dreem","Unknown","2025"
"6001065601236","DAIRY MILK FRUIT & NUT","Cadbury","snacks","2021"
"5997347556800","Popcorn burro","Mogyi","snacks","2017"
"4820132581460","Мюслі з абрикосом","Doctor Benner","Unknown","2023"
"0032894035073","Peeled foul with oil tomato paste ","Americana quality","plant based foods and beverages","2017"
"6907592000026","大块腐乳","WANGZHIHE, 王致和","plant based foods and beverages","2018"
"8480000213303","Bífidus 0% con frutos silvestres","Hacendado","dairies","2020"
